CID;Tipo;BTS Name;Direccion;Latitud;Gra;Min;Seg;Longitud;Gra;Min;Seg;Altura;Vector;Tilt;Region
185;GSM;BOG.Santa Barbara-1_B;Transversal 22 No. 123 - 04;4,703060000;4;42;11,02;-74,048200000;-74;2;53,52;30;120;7;Oriente
186;GSM;BOG.Santa Barbara-1_C;Transversal 22 No. 123 - 04;4,703060000;4;42;11,02;-74,048200000;-74;2;53,52;28;235;6;Oriente
191;GSM;BOG.Antiguo Country_1;Calle 84 No. 18 - 38;4,670010000;4;40;12,04;-74,057770000;-74;3;27,97;29;350;6;Oriente
192;GSM;BOG.Antiguo Country_2;Calle 84 No. 18 - 38;4,670010000;4;40;12,04;-74,057770000;-74;3;27,97;28;115;6;Oriente
193;GSM;BOG.Antiguo Country_3;Calle 84 No. 18 - 38;4,670010000;4;40;12,04;-74,057770000;-74;3;27,97;28;260;7;Oriente
194;GSM;BOG.Antiguo Country_A;Calle 84 No. 18 - 38;4,670010000;4;40;12,04;-74,057770000;-74;3;27,97;28;350;7;Oriente
195;GSM;BOG.Antiguo Country_B;Calle 84 No. 18 - 38;4,670010000;4;40;12,04;-74,057770000;-74;3;27,97;28;115;6;Oriente
196;GSM;BOG.Antiguo Country_C;Calle 84 No. 18 - 38;4,670010000;4;40;12,04;-74,057770000;-74;3;27,97;28;260;7;Oriente
201;GSM;BOG.Emaus-1_1;Calle 68 No. 5 - 19;4,650750000;4;39;2,70;-74,056400000;-74;3;23,04;30;30;4;Oriente
202;GSM;BOG.Emaus-1_2;Calle 68 No. 5 - 19;4,650750000;4;39;2,70;-74,056400000;-74;3;23,04;30;105;4;Oriente
203;GSM;BOG.Emaus-1_3;Calle 68 No. 5 - 19;4,650750000;4;39;2,70;-74,056400000;-74;3;23,04;23;265;5;Oriente
204;GSM;BOG.Emaus-1_A;Calle 68 No. 5 - 19;4,650750000;4;39;2,70;-74,056400000;-74;3;23,04;30;30;3;Oriente
205;GSM;BOG.Emaus-1_B;Calle 68 No. 5 - 19;4,650750000;4;39;2,70;-74,056400000;-74;3;23,04;30;105;4;Oriente
206;GSM;BOG.Emaus-1_C;Calle 68 No. 5 - 19;4,650750000;4;39;2,70;-74,056400000;-74;3;23,04;23;265;5;Oriente
211;GSM;BOG.Santa Bibiana_1;Calle 101 No. 20 - 60;4,687270000;4;41;14,17;-74,053300000;-74;3;11,88;27;5;8;Oriente
212;GSM;BOG.Santa Bibiana_2;Calle 101 No. 20 - 60;4,687270000;4;41;14,17;-74,053300000;-74;3;11,88;27;95;0;Oriente
213;GSM;BOG.Santa Bibiana_3;Calle 101 No. 20 - 60;4,687270000;4;41;14,17;-74,053300000;-74;3;11,88;27;240;8;Oriente
214;GSM;BOG.Santa Bibiana_A;Calle 101 No. 20 - 60;4,687270000;4;41;14,17;-74,053300000;-74;3;11,88;27;5;7;Oriente
215;GSM;BOG.Santa Bibiana_B;Calle 101 No. 20 - 60;4,687270000;4;41;14,17;-74,053300000;-74;3;11,88;27;130;5;Oriente
216;GSM;BOG.Santa Bibiana_C;Calle 101 No. 20 - 60;4,687270000;4;41;14,17;-74,053300000;-74;3;11,88;27;240;7;Oriente
